restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,playCount,diggCount,shareCount,tiktok_post_count,gmaps_reviews_scraped,gmaps_avg_rating_scraped,wongnai_rating,wongnai_reviews,facebook_likes
3007,The Letter Press Cafe & Restaurant at The Printing House Poshtel Bangkok,เดอะ เลตเตอร์เพรส คาเฟ่ แอนด์ เรสเตอร์รองต์ เดอะ พรินติ้ง เฮาส์ พอชเทล แบงค็อก,Khao San Road,0.0,0.0,0.0,0.0,5.0,3.4,,,
3010,Kai Yang Samanong Phattanakan 53,ไก่ย่างสามอนงค์ พัฒนาการ 53,Srinakarin,0.0,0.0,0.0,0.0,,,,,
3016,,ครัวคุณตุ๋น,Bangkok,0.0,0.0,0.0,0.0,,,,,
3017,,ฮาฮ่าหม่าล่า,Bangkok,0.0,0.0,0.0,0.0,,,,,
3018,,Soha Cuisine (Phuket),Bangkok,0.0,0.0,0.0,0.0,,,,,
3019,,โอตะซูชิ สาขา บางนา-อุดมสุข,Bangkok,0.0,0.0,0.0,0.0,,,,,
3020,,โอตะ ซูชิ สาขาแอร์พอร์ต ลาดกระบัง,Bangkok,0.0,0.0,0.0,0.0,,,,,
3021,,ริม รูฟท็อป ไดนิ่ง แอนด์ บาร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
3023,So Say Ma Camp,โซเซมาแคมป์,Rama 9,0.0,0.0,0.0,1.0,5.0,4.2,,,
3024,PESTO - Pasta and Espresso Osteria,PESTO - Pasta and Espresso Osteria,Bangkok,0.0,0.0,0.0,1.0,5.0,4.8,4.1,7.0,
3025,,ร้านจับกังไฮโซ,Bangkok,0.0,0.0,0.0,0.0,,,,,
3026,,โคล บิสโทร,Bangkok,0.0,0.0,0.0,0.0,,,,,
3027,,อัญชันเทอเรส สาขาพุทธมณฑลสาย2,Bangkok,0.0,0.0,0.0,0.0,,,,,
3029,Kindee Bistro (Phuket),กินดี บิสโทร (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,10.0,4.0,,,
3030,Yakiniku Shoutaian 2nd Rich,Yakiniku Shoutaian 2nd Rich,Thonglor,0.0,0.0,0.0,0.0,5.0,5.0,,,
3032,Kin Nuer by Caveman.th,กินเนื้อ by Caveman.th,Bangkok,0.0,0.0,0.0,0.0,5.0,5.0,,,
3033,,อัญชันคาเฟ่ วิภาวดี,Bangkok,0.0,0.0,0.0,0.0,,,,,
3034,Window on Karon Cafe (Phuket),Window on Karon Cafe (Phuket),Bangkok,0.0,0.0,0.0,0.0,10.0,4.0,,,
3038,Aoi Sushi Bar Karon (Phuket),Aoi Sushi Bar Karon (Phuket),Bangkok,0.0,0.0,0.0,1.0,5.0,4.8,,,
3040,Capri Restaurant & Bar (Phuket),คาปรี เรสเตอรองท์ แอนด์ บาร์ (ภูเก็ต),Bangkok,0.0,0.0,0.0,0.0,10.0,3.5,,,
3041,Rice Restaurant (Phuket),Rice Restaurant (Phuket),Bangkok,0.0,0.0,0.0,2.0,5.0,4.0,,,
3043,The Coral Lounge Phuket,The Coral Lounge Phuket,Bangkok,0.0,0.0,0.0,1.0,20.0,2.6,,,
3044,The Coral Premium Lounge Suvarnabhumi (Domestic),The Coral Premium Lounge Suvarnabhumi (Domestic),Suvarnabhumi,0.0,0.0,0.0,0.0,10.0,5.0,,,
3045,The Coral Lounge Don Mueang,The Coral Lounge Don Mueang,Bangkok,0.0,0.0,0.0,0.0,,,,,
3047,Ocean bistro at Cross Pattaya Oceanphere (Pattaya),Ocean bistro at Cross Pattaya Oceanphere (Pattaya),Bangkok,0.0,0.0,0.0,1.0,,,,,
3052,CAT Sushi Yo (Hatyai),แคท ซูชิ โย (หาดใหญ่),Bangkok,0.0,0.0,0.0,0.0,5.0,4.4,,,
3055,Banh Bistro @Ramada Plaza Sukhumvit 48,บานห์ บิสโทร,On Nut,0.0,0.0,0.0,1.0,5.0,3.0,,,
3056,,ร้านครัวริมฝาย (เพชรบูรณ์),Bangkok,0.0,0.0,0.0,0.0,,,,,
3057,,N52 Bistro & Bar,Bangkok,0.0,0.0,0.0,0.0,,,,,
3058,Zeppelin Restaurant Amari Don Muang Airport Hotel ,Zeppelin Restaurant Amari Don Muang Airport Hotel,Bangkok,0.0,0.0,0.0,1.0,5.0,3.6,,,
3060,,รสมาลี,Bangkok,0.0,0.0,0.0,0.0,,,,,
3064,WineMaso,WineMaso,Srinakarin,65117.0,7611.0,1893.0,20.0,8.0,4.875,,,
3065,,Restaurant Demo QA,Bangkok,0.0,0.0,0.0,0.0,,,,,
3068,,โซ ซี คาเฟ่ แอนด์ รีสอร์ท (ชลบุรี),Bangkok,0.0,0.0,0.0,0.0,,,,,
3070,,โรงแรมอวานี สุขุมวิท กรุงเทพ สเตเคชั่น,Bangkok,0.0,0.0,0.0,0.0,,,,,
3076,The Coffee Club Riverside Plaza,เดอะ คอฟฟี่ คลับ ริเวอร์ไซส์ พลาซ่า,Thonburi,0.0,0.0,0.0,0.0,5.0,5.0,3.7,168.0,
3077,,แซ่บอินเตอร์,Bangkok,0.0,0.0,0.0,0.0,,,,,
