restaurant_id,scraped_rating,scraped_review_count,timestamp
2561,4.1,1076,2026-02-09T11:14:29.719061
2562,4.3,1890,2026-02-09T11:14:42.967924
2563,3.8,102,2026-02-09T11:14:56.231708
2566,4.6,78,2026-02-09T11:15:09.752624
2567,4.2,866,2026-02-09T11:15:23.166459
2570,3.7,38,2026-02-09T11:15:41.700665
2571,4.1,201,2026-02-09T11:15:54.722392
2572,3.4,27,2026-02-09T11:16:07.696364
2573,3.8,32,2026-02-09T11:16:20.974163
2574,4.0,38,2026-02-09T11:16:34.554555
2575,4.2,224,2026-02-09T11:16:48.065830
2576,4.1,153,2026-02-09T11:17:01.347323
2577,4.0,134,2026-02-09T11:17:14.966415
2578,4.2,552,2026-02-09T11:17:28.528262
2580,4.0,156,2026-02-09T11:17:41.778390
2581,4.0,86,2026-02-09T11:17:55.231706
2582,4.4,76,2026-02-09T11:18:09.677275
2583,4.0,206,2026-02-09T11:18:22.624145
2585,3.8,121,2026-02-09T11:18:35.814150
2586,4.1,292,2026-02-09T11:18:48.797900
2587,4.1,238,2026-02-09T11:19:02.009489
2588,3.7,262,2026-02-09T11:19:15.395316
2591,4.1,677,2026-02-09T11:19:32.767237
2592,4.2,462,2026-02-09T11:19:46.179954
2594,4.6,241,2026-02-09T11:20:05.021032
2604,4.5,124,2026-02-09T11:20:27.852106
2624,4.5,415,2026-02-09T11:20:50.384243
2627,4.2,57,2026-02-09T11:21:05.657518
2632,3.8,44,2026-02-09T11:21:21.213332
2645,4.5,427,2026-02-09T11:21:36.278648
2649,4.5,1470,2026-02-09T11:21:50.236144
2650,4.5,1470,2026-02-09T11:40:48.086578
2664,4.1,597,2026-02-09T14:42:12.437920
2675,4.5,99,2026-02-09T14:42:32.943499
2681,4.4,1196,2026-02-09T14:42:47.974858
2685,4.6,391,2026-02-09T14:43:01.755426
2688,4.9,51,2026-02-09T14:43:14.520438
2693,4.5,1515,2026-02-09T14:43:28.037789
2699,4.1,8,2026-02-09T15:35:48.970576
2704,4.3,1695,2026-02-09T15:36:02.131575
2707,4.8,654,2026-02-09T15:46:19.412174
2710,4.7,943,2026-02-09T15:46:35.053679
2715,4.6,165,2026-02-09T16:01:49.923864
2723,4.7,605,2026-02-09T16:02:08.159815
2724,4.9,828,2026-02-09T16:02:21.175891
2725,4.6,184,2026-02-09T16:02:34.159719
2726,4.4,962,2026-02-09T16:02:47.741353
2733,4.9,519,2026-02-09T16:18:06.172416
2739,4.6,381,2026-02-09T16:18:26.036873
2743,4.6,507,2026-02-09T16:18:44.891745
2750,4.5,278,2026-02-09T16:19:02.219685
2754,4.3,32,2026-02-09T16:19:17.377904
2755,4.5,55,2026-02-09T16:19:30.701610
2757,4.5,1515,2026-02-09T16:19:44.559247
2759,4.5,217,2026-02-09T16:35:04.778648
2762,4.4,1566,2026-02-09T16:35:18.245004
2766,4.4,1929,2026-02-09T16:35:31.487457
2770,4.1,1793,2026-02-09T17:19:07.253111
2773,4.2,2272,2026-02-09T17:19:20.498945
2780,4.4,1566,2026-02-09T17:34:39.834785
2782,4.5,901,2026-02-09T17:34:53.360262
2784,4.7,88,2026-02-09T17:50:12.706396
2792,3.7,109,2026-02-09T17:50:29.408340
2794,4.1,56,2026-02-09T17:50:42.912076
2799,4.0,877,2026-02-09T17:50:57.802257
2801,4.6,1808,2026-02-09T18:06:17.292736
2802,4.1,2036,2026-02-09T18:52:36.615526
2805,3.9,54,2026-02-09T19:07:51.775543
2808,4.6,215,2026-02-09T19:08:10.790978
2811,4.5,3643,2026-02-09T19:08:28.412047
2813,4.6,111,2026-02-09T19:08:41.783400
2814,4.6,266,2026-02-09T19:08:54.590322
2817,4.8,726,2026-02-09T19:09:09.486243
2824,4.6,794,2026-02-09T19:09:29.944436
2826,4.4,3204,2026-02-09T19:09:48.331647
2828,4.3,94,2026-02-09T19:10:01.505324
2830,4.8,1252,2026-02-09T19:10:14.718662
2841,4.2,2523,2026-02-09T19:25:30.104119
2845,4.6,532,2026-02-09T19:40:45.923177
2853,4.4,403,2026-02-09T19:56:09.581137
2856,4.6,1374,2026-02-09T19:56:22.886826
2859,4.7,4791,2026-02-09T20:11:40.476441
2864,4.8,155,2026-02-09T20:27:03.939953
2866,4.8,421,2026-02-09T20:27:18.842918
2867,3.9,92,2026-02-09T20:27:31.914849
2873,3.8,79,2026-02-09T20:27:54.308851
2877,4.5,320,2026-02-09T20:28:07.471720
2878,3.7,51,2026-02-09T20:28:20.640537
2885,4.4,180,2026-02-09T20:28:37.621611
2888,4.4,346,2026-02-09T20:28:50.512248
2893,4.4,177,2026-02-09T20:29:12.059782
2895,4.7,839,2026-02-09T20:29:25.251893
2906,4.5,4090,2026-02-09T20:29:38.975874
2908,4.3,933,2026-02-09T20:44:56.125592
2911,4.8,671,2026-02-09T20:45:10.625306
2915,4.4,167,2026-02-09T20:45:23.418648
2916,4.2,38,2026-02-09T20:45:36.569360
2918,4.0,69,2026-02-09T20:45:49.663451
2919,3.8,87,2026-02-09T20:46:02.725133
2921,4.8,691,2026-02-09T20:46:16.301728
2925,4.7,628,2026-02-09T20:46:29.210762
2928,4.5,5665,2026-02-09T20:46:42.259076
2934,4.8,548,2026-02-09T21:01:58.517134
2939,4.5,13,2026-02-09T21:02:11.404441
2959,4.6,182,2026-02-09T21:02:24.448050
2965,4.2,1164,2026-02-09T21:02:37.753519
2974,4.5,279,2026-02-09T21:02:51.617414
2975,4.1,756,2026-02-09T21:03:06.078038
2982,4.8,568,2026-02-09T21:18:25.504053
2983,4.4,911,2026-02-09T21:18:39.282005
2990,4.3,181,2026-02-09T21:33:59.437437
2992,4.3,35,2026-02-09T21:34:14.376816
2995,4.3,5668,2026-02-09T21:34:27.437654
2999,4.6,1109,2026-02-09T21:34:39.968783
3005,4.4,1723,2026-02-09T21:34:55.531983
3006,4.3,86,2026-02-09T21:35:08.945108
3010,4.6,155,2026-02-09T21:35:23.941454
3018,4.7,383,2026-02-09T21:35:40.771558
3021,4.3,266,2026-02-09T21:35:56.936656
3023,4.8,23,2026-02-09T21:36:09.985766
3024,4.3,191,2026-02-09T21:36:22.776067
3026,4.6,861,2026-02-09T21:36:38.268834
3030,4.8,601,2026-02-09T21:36:54.638826
3032,5.0,4,2026-02-09T21:37:07.537565
3033,4.3,1108,2026-02-09T21:37:19.906011
3034,3.8,86,2026-02-09T21:37:33.182127
3045,4.4,2316,2026-02-09T21:37:56.737370
3052,4.2,119,2026-02-09T21:38:12.087696
3055,4.5,40,2026-02-09T21:38:25.507002
3056,3.8,11,2026-02-09T21:38:38.925144
3057,4.7,178,2026-02-09T21:38:51.450863
3218,3.9,543,2026-02-09T23:21:55.862575
3219,4.7,635,2026-02-11T23:34:47.849132
3223,4.3,42,2026-02-11T23:35:08.522984
3225,4.4,13,2026-02-11T23:35:23.185768
3234,4.7,24,2026-02-11T23:35:37.680452
3239,4.3,287,2026-02-11T23:35:58.205825
3240,4.7,650,2026-02-11T23:51:11.253744
3241,4.8,244,2026-02-11T23:51:24.630295
3243,4.8,1133,2026-02-11T23:51:42.969951
3248,3.6,458,2026-02-11T23:51:55.925674
3253,4.0,179,2026-02-11T23:52:12.221606
3254,4.9,1029,2026-02-11T23:52:25.244829
3255,4.1,52,2026-02-11T23:52:38.353779
3256,4.5,166,2026-02-11T23:52:51.216925
3258,4.4,334,2026-02-11T23:53:09.526970
3259,4.6,183,2026-02-11T23:53:22.321144
3261,4.7,398,2026-02-11T23:53:37.323491
3262,4.4,271,2026-02-11T23:53:50.215856
3263,4.8,117,2026-02-11T23:54:03.150922
3265,4.3,45,2026-02-11T23:54:17.522553
3266,4.5,216,2026-02-11T23:54:30.774477
3270,4.6,391,2026-02-11T23:54:44.843064
3272,4.0,351,2026-02-11T23:54:57.585419
3276,4.4,300,2026-02-11T23:55:12.758001
3281,4.4,573,2026-02-11T23:55:35.246257
3282,4.8,376,2026-02-11T23:55:48.073450
3293,4.2,434,2026-02-11T23:56:10.065386
3294,4.6,1460,2026-02-11T23:56:22.933116
3295,4.4,257,2026-02-11T23:56:35.888934
3298,4.7,51,2026-02-11T23:56:50.250399
3299,4.2,464,2026-02-11T23:57:03.057395
3309,4.6,860,2026-02-11T23:57:22.462786
3313,4.6,58,2026-02-12T00:12:39.497339
3317,4.6,650,2026-02-12T00:12:57.179116
3319,4.5,255,2026-02-12T00:13:11.917057
3321,4.4,70,2026-02-12T00:13:25.042929
3324,4.7,395,2026-02-12T00:13:40.410716
3332,4.3,446,2026-02-12T00:14:00.537561
3334,4.4,593,2026-02-12T12:35:47.597373
3336,3.4,29,2026-02-12T12:36:00.708698
3338,4.3,164,2026-02-12T12:36:14.046715
3339,4.1,2461,2026-02-12T12:51:31.371323
3342,4.2,38,2026-02-12T13:06:49.543875
3346,4.3,189,2026-02-12T13:07:03.085004
3347,3.8,30,2026-02-12T13:07:16.483278
3349,4.4,63,2026-02-12T13:07:29.908058
3351,3.3,4,2026-02-12T13:07:43.114964
3361,4.2,106,2026-02-12T13:07:57.786682
3365,4.7,1336,2026-02-12T13:08:10.881510
3366,4.6,5727,2026-02-12T13:08:24.346875
3367,4.3,369,2026-02-12T13:23:39.148114
3371,4.5,2697,2026-02-12T13:23:53.634118
3372,4.3,550,2026-02-12T13:24:06.435972
3377,4.6,5922,2026-02-12T14:00:18.769789
3378,4.8,403,2026-02-12T14:15:38.428103
3381,4.8,940,2026-02-12T14:15:57.452660
3409,4.8,479,2026-02-12T14:16:10.682307
3453,4.1,5153,2026-02-12T14:16:28.064829
3457,3.6,5,2026-02-12T14:31:50.461526
3458,4.6,602,2026-02-12T14:32:02.847057
3459,4.3,69,2026-02-12T14:32:15.942674
3461,4.0,195,2026-02-12T14:32:28.646892
3463,4.6,403,2026-02-12T14:32:42.437168
3466,4.5,52,2026-02-12T14:48:08.572141
3471,4.6,28,2026-02-12T14:48:21.687527
3473,4.3,215,2026-02-12T14:48:39.943349
3474,4.9,3529,2026-02-12T15:03:51.768023
3475,4.8,1483,2026-02-12T15:04:04.862275
3476,4.5,505,2026-02-12T15:04:17.977513
3478,4.4,45,2026-02-12T15:04:32.299110
3479,4.7,185,2026-02-12T15:04:45.615512
3481,5.0,4,2026-02-12T15:05:03.818319
3482,4.1,264,2026-02-12T15:05:15.772516
3486,4.6,42,2026-02-12T15:05:30.415571
3488,4.5,249,2026-02-12T15:05:43.333327
3492,4.5,183,2026-02-12T15:05:57.336265
3494,4.3,168,2026-02-12T15:06:12.387467
3499,4.7,865,2026-02-12T15:06:25.494493
3511,4.5,453,2026-02-12T15:21:43.553330
3514,5.0,8,2026-02-12T15:21:56.570263
3517,4.4,63,2026-02-12T15:22:08.973750
3518,4.6,2126,2026-02-12T15:22:22.750294
