restaurant_id,restaurant_name_en,restaurant_name_th,extracted_location,phone_number,total_revenue,total_bookings,total_guests,avg_revenue_per_booking,no_show_rate
3239,Itz Time Pool Villa Staycation (Hua Hin),อิทซ์ไทม์ พูลวิลล่า สเตเคชั่น (หัวหิน),Bangkok,853226354,4433594.0,31.0,122.0,143019.16129032258,0.0
3240,Five Crossing Eatery & Winery,ไฟว์ครอสซิ่ง,Muangthong Thani,649365666,5194440.0,329.0,713.0,15788.57142857143,0.0
3241,Boon Tong Kee Central Westgate,บุญตงกี่ เซ็นทรัล เวสต์เกต,Bangkok,02 095 3100,25263600.0,2590.0,7049.0,9754.285714285714,0.005019305019305
3242,Suaninsee 2 Table By The Nest,Suaninsee 2 Table By The Nest,Samut Prakan,838289566,122400.0,4.0,19.0,30600.0,0.0
3243,Boon Tong Kee Muang Thong Thani (PTT Active Park),บุญตงกี่ ปั๊มปตท. เมืองทองธานี,Muangthong Thani,909906835,57883520.0,6368.0,16569.0,9089.748743718594,0.0037688442211055
3248,Wine I Love You Asiatique The Riverfront,ไวน์ ไอเลิฟยู เอเชียทีค เดอะ ริเวอร์ฟรอนท์,Bangkok,872404222,27623520.0,1871.0,4347.0,14764.040619989311,0.0181721004810261
3251,,ไวน์ ไอเลิฟยู เมกาบางนา,Bangkok,922636606,49920.0,4.0,8.0,12480.0,0.0
3252,,มา ดู บัว สเตย์ (ภูเก็ต),Bangkok,631979244,484620.0,15.0,33.0,32308.0,0.0
3253,Kai Yang Boran ,ไก่ย่างโบราณ,Phra Nakhon,26222349,178680.0,11.0,43.0,16243.636363636364,0.0909090909090909
3254,Katsuya Siam Square One,คัตสึยะ สยามสแควร์วัน,Siam,922561436,680450.0,82.0,196.0,8298.170731707318,0.0
3255,Katsuya Future Park Rangsit,คัตสึยะ ฟิวเจอร์พาร์ค รังสิต,Rangsit,613973601,996710.0,134.0,332.0,7438.134328358209,0.0
3256,Katsuya Central Rama 2,คัตสึยะ เซ็นทรัลพระราม 2,Bangkok,625912471,1122110.0,152.0,367.0,7382.3026315789475,0.0
3257,Katsuya Union Mall,คัตสึยะ ยูเนี่ยน มอลล์,Ladprao,625935332,1436260.0,166.0,424.0,8652.168674698794,0.0
3258,Katsuya Gateway Ekamai,คัตสึยะ เกตเวย์ เอกมัย,Ekkamai,922561497,378200.0,62.0,159.0,6100.0,0.0161290322580645
3259,Katsuya Fashion Island,คัตสึยะ แฟชั่นไอส์แลนด์,Bangkok,655027223,624100.0,94.0,255.0,6639.36170212766,0.0
3260,Moreganic Restaurant Away Thapae Resort (Chiang Mai),มอร์แกนิค อะเวย์ท่าแพรีสอร์ท (เชียงใหม่),Bangkok,53904974,604250.0,58.0,164.0,10418.103448275862,0.0172413793103448
3261,Katsuya Mega Bangna,คัตสึยะ เมกาบางนา,Samut Prakan,614105259,1034900.0,155.0,404.0,6676.774193548387,0.0
3262,Katsuya Fortune Town,คัตสึยะ ฟอร์จูนทาวน์,Ratchada,657294991,471000.0,83.0,171.0,5674.698795180723,0.0
3263,Katsuya Imperial World Samrong,คัตสึยะ อิมพีเรียลเวิลด์ สำโรง,Samut Prakan,659513275,270200.0,46.0,105.0,5873.913043478261,0.0
3264,Katsuya Cosmo Bazaar ,คัตสึยะ คอสโม บาซาร์,Muangthong Thani,655163158,214600.0,36.0,80.0,5961.111111111111,0.0
3265,,อินกิงเหลา,Bangkok,25741006,8280.0,1.0,2.0,8280.0,0.0
3266,,คอมเบ 건배,Bangkok,944799246,148920.0,12.0,33.0,12410.0,0.0
3267,,ตำบักกอ,Bangkok,917687756,394440.0,47.0,112.0,8392.340425531915,0.0
3270,BNP Cuisine,BNP Cuisine,Bangkok,829661999,37465584.0,954.0,3221.0,39272.10062893082,0.0220125786163522
3272,,สวนอาหารครัวปีกไม้ ศรีนครินทร์,Bangkok,831870403,169200.0,9.0,33.0,18800.0,0.0
