restaurant_id,raw_average_sentiment,sentiment_variance,nlp_review_count,sentiment_score
3055,0.5620499999999999,0.15070712672413794,30,78.10249999999999
3056,0.39414,0.24865212300000003,5,69.707
3057,0.76056,0.1122495204137931,30,88.02799999999999
3219,0.48339,0.18609201127586203,30,74.1695
3223,0.6235310344827586,0.0731012343596059,29,81.17655172413794
3225,0.7037416666666667,0.2433093535606061,12,85.18708333333333
3234,0.6495875,0.09469168516666665,16,82.479375
3240,0.7884266666666666,0.04450043995402299,30,89.42133333333334
3241,0.58989,0.0633382133448276,30,79.4945
3243,0.6288400000000001,0.09259006179310342,30,81.44200000000001
3248,0.33887,0.39259979389655186,30,66.9435
3253,0.4001166666666667,0.32523411385057466,30,70.00583333333333
3254,0.7040466666666667,0.04704646740229887,30,85.20233333333334
3255,0.4942266666666667,0.20404268960919544,30,74.71133333333333
3256,0.4982,0.1957736510344828,30,74.91
3258,0.5287466666666666,0.17846364257471267,30,76.43733333333333
3259,0.70036,0.053801987789473676,20,85.018
3261,0.4651166666666667,0.11674920764367819,30,73.25583333333333
3262,0.5111866666666667,0.13321818671264365,30,75.55933333333333
3263,0.5995566666666666,0.12891553702298855,30,79.97783333333332
3265,0.5251466666666667,0.18717479774712645,30,76.25733333333334
3266,0.5186433333333333,0.2772713025402299,30,75.93216666666666
3270,0.660155,0.06137166786842106,20,83.00775
3272,0.40615,0.19219143844827583,30,70.3075
3276,0.5850766666666666,0.15163722322988504,30,79.25383333333333
3281,0.6257233333333333,0.18259241909195406,30,81.28616666666666
3282,0.715805,0.13735829313157896,20,85.79025
3293,0.5041833333333333,0.20308208902298847,30,75.20916666666666
3294,0.6356866666666666,0.15108139154022993,30,81.78433333333332
3295,0.6778366666666666,0.1923691879195403,30,83.89183333333334
3298,0.6517649999999999,0.09614496449999999,20,82.58825
3299,0.5930866666666667,0.11760291154022989,30,79.65433333333334
3313,0.6768,0.10860601655172414,30,83.84
3317,0.5735399999999999,0.1588736604137931,30,78.67699999999999
3319,0.6240600000000001,0.14665483006896557,30,81.203
3321,0.52603,0.2787913042413793,30,76.3015
3324,0.7493433333333334,0.08344631288505747,30,87.46716666666667
3334,0.671375,0.10899135250000003,20,83.56875000000001
3336,0.20435,0.37205108269230774,14,60.2175
3342,0.5755444444444444,0.10135741102564103,27,78.77722222222222
3346,0.6462666666666668,0.10682688712643679,30,82.31333333333333
3347,0.5383416666666666,0.2180547581884058,24,76.91708333333334
3349,0.5373066666666666,0.1728663675402299,30,76.86533333333333
3351,-0.04067499999999999,0.22786855583333335,4,47.96625
3361,0.4334766666666667,0.22948154322988507,30,71.67383333333333
3365,0.7399,0.0549720627586207,30,86.995
3367,0.57663,0.3445788112222222,10,78.8315
3371,0.7798999999999999,0.09017900631578946,20,88.995
3378,0.6324966666666666,0.11275081136781606,30,81.62483333333333
3381,0.705155,0.10644927944736844,20,85.25775
3409,0.52514,0.07316302662068969,30,76.25699999999999
3457,0.022925,0.6582034958333334,4,51.14625
3458,0.7737166666666667,0.04133411798850574,30,88.68583333333333
3459,0.576985,0.23451961502631574,20,78.84925
3461,0.512065,0.18851356871052638,20,75.60325
3466,0.7068666666666666,0.0729208712643678,30,85.34333333333333
3471,0.7738333333333334,0.03601103882352941,18,88.69166666666666
3474,0.824325,0.051341593552631584,20,91.21625
3475,0.6947766666666666,0.08309315219540231,30,84.73883333333333
3476,0.8766349999999999,0.013890887657894743,20,93.83174999999999
3478,0.6902466666666667,0.08660452257471266,30,84.51233333333333
3479,0.5258266666666667,0.19325325443678162,30,76.29133333333333
3481,0.7284666666666667,0.0025989633333333376,3,86.42333333333335
3482,0.46663000000000004,0.20575971458620695,30,73.3315
3486,0.5926958333333333,0.08013728389492755,24,79.63479166666667
3488,0.7367633333333334,0.0815333534367816,30,86.83816666666667
3492,0.55169,0.17446575886206894,30,77.5845
3494,0.500475,0.2345798661842106,20,75.02375
3511,0.5176366666666666,0.1224030458505747,30,75.88183333333333
3514,0.562025,0.07181849071428571,8,78.10125
3517,0.67773,0.09891961665517242,30,83.8865
